ID,Gene_ID
Actinia_equina,38458764
Metridium_senile,808778
Pelagia_noctiluca,82289618
Cassiopea_xamachana,11473187
Mnemiopsis_leidyi,11271689
Symsagittifera_roscoffensis,9829947
Brachionus_plicatilis,6091394
Katharina_tunicata,807834
Cryptochiton_stelleri,24121139
Placopecten_magellanicus,3562063
Argopecten_purpuratus,26037591
Mimachlamys_varia,71450356
Magallana_gigas,808829
Ostrea_edulis,11341134
Saccostrea_cuccullata,25396327
Brachidontes_pharaonis,72724650
Geukensia_demissa,71456028
Mytilus_californianus,11123307
Mytilus_galloprovincialis,3332122
Mytilus_trossulus,3854376
Perna_viridis,13435563
Perna_perna,22974661
Perna_canaliculus,63651044
Septifer_virgatus,77081929
Laternula_elliptica,17674902
Cerastoderma_edule,33910912
Tridacna_gigas,59143226
Donax_trunculus,34680298
Donax_vittatus,34680375
Macoma_balthica,44796743
Mya_arenaria,20159510
Arctica_islandica,17427969
Corbicula_fluminea,44790267
Dosinia_japonica,37501108
Mercenaria_mercenaria,55289764
Ruditapes_philippinarum,29141324
Ruditapes_decussatus,33912925
Echyridella_menziesii,32951387
Cumberlandia_monodonta,32951426
Margaritifera_laevis,81491133
Margaritifera_margaritifera,40879715
Amblema_plicata,58118300
Quadrula_quadrula,8677245
Microcondylaea_bonellii,41042474
Potomida_littoralis,27440829
Lamellidens_marginalis,71943690
Alasmidonta_heterodon,36485335
Anodonta_anatina,17623036
Anodonta_cygnea,35200109
Pseudanodonta_complanata,67148062
Pyganodon_grandis,8677291
Sinanodonta_woodiana,20466159
Unio_pictorum,10354717
Gibbula_umbilicalis,33906340
Haliotis_rubra,2846698
Clithon_retropictum,38745231
Pomacea_canaliculata,19909191
Buccinum_undatum,39111817
Potamopyrgus_antipodarum,77843114
Aplysia_californica,2768705
Bulinus_globosus,70630963
Bulinus_truncatus,70630849
Ferrissia_californica,89915782
Biomphalaria_glabrata,2746309
Biomphalaria_pfeifferi,37500870
Physella_acuta,18129216
Succinea_putris,11341305
Discus_perspectivus,74556048
Ambigolimax_valentianus,79584016
Helix_pomatia,39411721
Nautilus_pompilius,33909611
Doryteuthis_opalescens,7996660
Heterololigo_bleekeri,809436
Sepioteuthis_lessoniana,3950664
Uroteuthis_chinensis,26120123
Uroteuthis_duvauceli,25396619
Uroteuthis_edulis,12354646
Liocranchia_reinhardtii,84369715
Abraliopsis_morisii,84369935
Watasenia_scintillans,3974257
Histioteuthis_bonnellii,77420849
Illex_argentinus,24143649
Dosidicus_gigas,5469447
Sthenoteuthis_oualaniensis,6261943
Thysanoteuthis_rhombus,68212255
Sepia_apama,17098754
Sepia_elegans,77420916
Sepia_officinalis,3950362
Sepia_orbignyana,77420877
Sepia_pharaonis,15333716
Sepiella_inermis,17427652
Sepietta_obscura,74548266
Rossia_macrosoma,74548038
Spirula_spirula,32881251
Argonauta_argo,77651830
Argonauta_hians,35093646
Japetella_diaphana,76825787
Eledone_cirrhosa,77651869
Enteroctopus_dofleini,65342630
Amphioctopus_aegina,27107981
Amphioctopus_fangsiao,3974424
Octopus_bimaculoides,27205957
Octopus_cyanea,38340628
Octopus_mimus,41041340
Octopus_vulgaris,3101925
Pteroctopus_tetracirrhus,77421070
Vampyroteuthis_infernalis,5333369
Flustra_foliacea,11540588
Hediste_diversicolor,67144939
Urechis_caupo,3119716
Lumbricus_terrestris,807923
Aporrectodea_caliginosa,74993521
Eisenia_andrei,73938177
Eisenia_fetida,73938216
Barbronia_weberi,79125857
Theromyzon_tessulatum,77421892
Lineus_viridis,8097116
Caenorhabditis_elegans,2565700
Rhizoglyphus_robini,37500833
Artemia_salina,67147928
Artemia_urmiana,76810902
Eubranchipus_grubii,58904570
Streptocephalus_sirindhornae,23764674
Branchinella_kugenumaensis,63651573
Daphnia_carinata,26118515
Daphnia_magna,24147205
Daphnia_pulex,808488
Simocephalus_serrulatus,70626230
Diaphanosoma_excisum,69221098
Lepidurus_arcticus,41792804
Triops_granarius,41826657
Triops_longicaudatus,2914133
Pollicipes_polymerus,2846718
Amphibalanus_amphitrite,19907497
Eurytemora_affinis,54124867
Lepeophtheirus_salmonis,67122592
Jassa_falcata,74566419
Gammarus_fossarum,32958196
Gammarus_roeselii,37276043
Hyalella_azteca,38169113
Euphausia_superba,39119080
Litopenaeus_stylirostris,7411821
Penaeus_japonicus,3416042
Fenneropenaeus_chinensis,5333400
Paratya_australiensis,25077078
Homarus_gammarus,14411952
Homarus_americanus,10743685
Pacifastacus_leniusculus,30899349
Austropotamobius_torrentium,30898119
Procambarus_clarkii,11763610
Panulirus_versicolor,26381478
Paralithodes_camtschaticus,14412075
Birgus_latro,42268470
Cancer_pagurus,60458190
Charybdis_bimaculata,36934962
Portunus_trituberculatus,1482824
Folsomia_candida,70616950
Orchesella_cincta,30690442
Lepisma_saccharina,54616157
Locusta_migratoria,807962
Extatosoma_tiaratum,12354669
Bemisia_tabaci,3077223
Acyrthosiphon_pisum,7055888
Nezara_viridula,7113287
Aedes_aegypti,33307557
Culex_pipiens,10200328
Plodia_interpunctella,26038708
Bombyx_mori,809266
Manduca_sexta,5848747
Spodoptera_frugiperda,25768279
Helicoverpa_armigera,9977712
Linepithema_humile,42265442
Ophiura_albida,6295783
Pisaster_ochraceus,40487529
Acanthaster_planci,3907688
Protoreaster_nodosus,63650033
Crossaster_papposus,63044542
Sterechinus_neumayeri,24286986
Mesocentrotus_franciscanus,19524199
Strongylocentrotus_droebachiensis,5692625
Strongylocentrotus_pallidus,5692582
Strongylocentrotus_purpuratus,2652718
Lytechinus_variegatus,36941438
Paracentrotus_lividus,807707
Loxechinus_albus,18667044
Echinocardium_cordatum,8803598
Holothuria_scabra,24285871
Branchiostoma_floridae,808726
Ascidiella_aspersa,15820803
Ciona_intestinalis,12977600
Botrylloides_violaceus,19592741
Styela_plicata,8656154
Myxine_glutinosa,802350
Geotria_australis,26893259
Mordacia_mordax,77428378
Petromyzon_marinus,807802
Ichthyomyzon_fossor,22161480
Ichthyomyzon_gagei,32229130
Entosphenus_tridentatus,75508064
Lethenteron_appendix,22162120
Lethenteron_camtschaticum,14690313
Lampetra_aepyptera,24143961
Lampetra_fluviatilis,808817
Callorhinchus_capensis,9385331
Callorhinchus_milii,9385346
Chimaera_monstrosa,803905
Chimaera_fulva,9385542
Rhinochimaera_pacifica,9385611
Hemiscyllium_ocellatum,41799809
Chiloscyllium_plagiosum,7768744
Stegostoma_fasciatum,26898174
Rhincodon_typus,18267178
Ginglymostoma_cirratum,27909905
Galeus_melastomus,56139854
Scyliorhinus_canicula,808296
Scyliorhinus_retifer,84875897
Mustelus_manazo,808691
Mustelus_mustelus,38288993
Triakis_megalopterus,82129073
Triakis_semifasciata,82129889
Galeorhinus_galeus,86140271
Hemitriakis_japanica,24018989
Carcharhinus_acronotus,19221832
Carcharhinus_albimarginatus,54599921
Carcharhinus_amblyrhynchos,54620588
Carcharhinus_brachyurus,67271098
Carcharhinus_brevipinna,24285748
Carcharhinus_falciformis,40145943
Carcharhinus_leucas,18490293
Carcharhinus_longimanus,25099166
Carcharhinus_macloti,20356980
Carcharhinus_melanopterus,19592028
Carcharhinus_obscurus,14841437
Carcharhinus_plumbeus,19909413
Carcharhinus_sorrah,18490279
Galeocerdo_cuvier,16695711
Rhizoprionodon_acutus,44150273
Prionace_glauca,17674435
Negaprion_brevirostris,79128022
Loxodon_macrorhinus,27213901
Scoliodon_laticaudus,41698893
Triaenodon_obesus,22974641
Hemipristis_elongata,30513503
Sphyrna_lewini,17427439
Sphyrna_mokarran,33868469
Sphyrna_tiburo,26374504
Sphyrna_zygaena,22283801
Eusphyra_blochii,30213947
Carcharias_taurus,18490265
Lamna_ditropis,19591703
Lamna_nasus,31082879
Isurus_oxyrinchus,25099128
Carcharodon_carcharias,17046287
Pseudocarcharias_kamoharai,22909323
Alopias_pelagicus,17674477
Alopias_superciliosus,15824684
Alopias_vulpinus,56138460
Cetorhinus_maximus,18129857
Mitsukurina_owstoni,7256515
Chlamydoselachus_anguineus,17428443
Heptranchias_perlo,17428457
Notorynchus_cepedianus,17428471
Squalus_acanthias,808385
Squalus_blainville,69241981
Squalus_montalbani,26376216
Somniosus_microcephalus,56138383
Somniosus_pacificus,17428513
Squatina_dumeril,55288098
Amblyraja_georgiana,36956242
Amblyraja_radiata,808714
Beringraja_binoculata,84878063
Beringraja_pulchra,22157959
Beringraja_rhina,16489250
Beringraja_stellulata,84877493
Dipturus_batis,54105519
Dipturus_innominatus,36955786
Dipturus_kwangtungensis,18489715
Dipturus_oxyrinchus,36955976
Dipturus_trachyderma,25021134
Leucoraja_erinacea,11452180
Leucoraja_naevus,36956014
Okamejei_kenojei,3453279
Raja_asterias,36956090
Raja_brachyura,56138421
Raja_clavata,36956166
Raja_miraletus,36956204
Raja_polystigma,36956128
Raja_undulata,69241943
Zearaja_chilensis,18984391
Zearaja_nasuta,36955748
Bathyraja_albomaculata,36955862
Bathyraja_aleutica,84877721
Bathyraja_griseocauda,36955900
Bathyraja_interrupta,84878101
Bathyraja_maculata,84877759
Bathyraja_parmifera,84876771
Bathyraja_taranetzi,84877797
Atlantoraja_castelnaui,22549056
Torpedo_marmorata,69242019
Narcine_brasiliensis,32887029
Anoxypristis_cuspidata,22975913
Pristis_pectinata,24404091
Rhynchobatus_laevis,54591610
Acroteriobatus_annulatus,76827825
Zapteryx_exasperata,20466084
Dasyatis_pastinaca,67787178
Neotrygon_kuhlii,16217048
Pteroplatytrygon_violacea,19908865
Gymnura_altavela,69241905
Aetobatus_flagellum,17674743
Mobula_japanica,13825522
Rhinoptera_bonasus,84889380
Erpetoichthys_calabaricus,2657812
Polypterus_senegalus,805681
Polyodon_spathula,805409
Acipenser_baerii,12079522
Acipenser_brevirostrum,30769034
Acipenser_dabryanus,2746351
Acipenser_fulvescens,27982425
Acipenser_gueldenstaedtii,7768854
Acipenser_medirostris,26217896
Acipenser_nudiventris,27983630
Acipenser_oxyrinchus,26129074
Acipenser_schrenckii,16216639
Acipenser_sinensis,7804425
Acipenser_stellatus,2762965
Acipenser_sturio,24703284
Acipenser_transmontanus,807184
Huso_huso,2657115
Huso_dauricus,18887480
Scaphirhynchus_albus,27982387
Scaphirhynchus_suttkusi,34926077
Scaphirhynchus_platorynchus,27982463
Amia_calva,807212
Atractosteus_spatula,4108056
Lepisosteus_oculatus,807203
Lepisosteus_osseus,4100055
Lepisosteus_platyrhincus,27108840
Elops_saurus,2763008
Megalops_atlanticus,2763022
Albula_vulpes,84889114
Halosauropsis_macrochir,33949844
Anguilla_anguilla,3190264
Anguilla_japonica,802965
Muraenesox_bagio,8673186
Muraenesox_cinereus,67268481
Gymnothorax_kidako,805634
Hiodon_tergisus,10200408
Hiodon_alosoides,2648286
Osteoglossum_bicirrhosum,803863
Chitala_chitala,77617938
Notopterus_notopterus,7902267
Arapaima_gigas,6197795
Heterotis_niloticus,10200394
Coilia_mystus,14050032
Coilia_nasus,5228881
Setipinna_taty,14690354
Thryssa_mystax,87750139
Thryssa_setirostris,37540622
Anchoa_mitchilli,84517110
Anchoa_tricolor,89443941
Engraulis_encrasicolus,5228700
Engraulis_japonicus,803847
Engraulis_mordax,39332120
Engraulis_ringens,40496885
Lycengraulis_grossidens,9385213
Stolephorus_commersonnii,30900659
Stolephorus_insularis,40496923
Stolephorus_waitei,40493272
Jenkinsia_lamprotaenia,3338284
Spratelloides_delicatulus,5228925
Spratelloides_gracilis,5228851
Ilisha_africana,5228895
Ilisha_elongata,5228867
Opisthopterus_tardoore,33133152
Clupea_harengus,5228438
Clupea_pallasii,5228463
Gudusia_chapra,11540366
Hyperlophus_vittatus,11538750
Potamalosa_richmondia,11538792
Sprattus_sprattus,5228740
Clupeichthys_aesarnensis,11539843
Clupeonella_cultriventris,10201175
Alosa_aestivalis,35993666
Alosa_alabamae,26128504
Alosa_alosa,5228800
Alosa_mediocris,35993628
Alosa_sapidissima,9978347
Alosa_pseudoharengus,5228487
Brevoortia_tyrannus,9384868
Sardina_pilchardus,5228455
Sardinops_sagax,67148329
Limnothrissa_miodon,76815234
Stolothrissa_tanganicae,76815196
Anodontostoma_chacunda,15824725
Tenualosa_ilisha,11539147
Tenualosa_toli,11539815
Amblygaster_sirm,33133228
Clupanodon_thrissa,13620989
Dorosoma_cepedianum,4107947
Dorosoma_petenense,5228759
Escualosa_thoracata,11540024
Ethmalosa_fimbriata,5228822
Konosirus_punctatus,11539615
Opisthonema_oglinum,84875669
Sardinella_aurita,89445500
Sardinella_albella,11540639
Sardinella_brasiliensis,89445538
Sardinella_gibbosa,36271852
Sardinella_lemuru,38280779
Sardinella_longiceps,30863601
Sardinella_maderensis,5228732
Harengula_jaguana,11538464
Alepocephalus_bairdii,8656190
Chanos_chanos,807036
Cirrhinus_cirrhosus,31085111
Cirrhinus_mrigala,12079750
Labeo_bata,10251198
Labeo_calbasu,12079793
Labeo_catla,11705421
Labeo_rohita,12079592
Tor_putitora,16216612
Cyprinus_carpio,13435860
Carassius_auratus,3200568
Carassius_carassius,3021858
Carassius_gibelio,9222066
Barbus_barbus,4575415
Capoeta_gracilis,19908737
Luciobarbus_sclateri,29992592
Oxygymnocypris_stewartii,17428293
Schizothorax_dulongensis,68222349
Schizothorax_waltoni,14841243
Ptychobarbus_dipogon,19907656
Hemiculter_leucisculus,17728310
Danio_rerio,140539
Hypophthalmichthys_molitrix,5797764
Hypophthalmichthys_nobilis,5845981
Ctenopharyngodon_idella,5857708
Tinca_tinca,4575359
Rhodeus_amarus,29992820
Abbottina_rivularis,18667294
Gobio_gobio,4575345
Phoxinus_phoxinus,14658604
Chrosomus_erythrogaster,29994036
Gila_coerulea,75517080
Gila_cypha,63652228
Gila_elegans,63880479
Gila_robusta,4100360
Ptychocheilus_lucius,63880441
Ptychocheilus_oregonensis,75517004
Siphateles_bicolor,75517118
Acrocheilus_alutaceus,31083505
Lavinia_exilicauda,31083581
Alburnus_alburnus,4575429
Notemigonus_crysoleucas,4575387
Abramis_brama,14658576
Iberochondrostoma_lemmingii,4100387
Pseudochondrostoma_polylepis,29994188
Rutilus_rutilus,76828529
Scardinius_erythrophthalmus,29993694
Squalius_cephalus,29992896
Meda_fulgida,26129112
Semotilus_atromaculatus,31084189
Rhynchocypris_oxycephalus,24570938
Mylocheilus_caurinus,8746899
Pogonichthys_macrolepidotus,31084037
Richardsonius_egregius,75509260
Exoglossum_maxillingua,35993590
Oregonichthys_crameri,75508910
Rhinichthys_atratulus,31084075
Rhinichthys_cataractae,31084113
Campostoma_anomalum,4100347
Blicca_bjoerkna,14658562
Cyprinella_lutrensis,4575373
Cyprinella_venusta,86115036
Dionda_diaboli,63652380
Hybognathus_amarus,63652342
Hybognathus_nuchalis,29993922
Hybognathus_placitus,67137923
Hybopsis_amnis,83239869
Luxilus_chrysocephalus,31083391
Luxilus_cornutus,31083619
Luxilus_pilsbryi,86114847
Lythrurus_umbratilis,31083771
Macrhybopsis_hyostoma,28262436
Macrhybopsis_meeki,31083809
Macrhybopsis_storeriana,28253278
Notropis_atherinoides,31083429
Notropis_bifrenatus,31083885
Notropis_boops,86115149
Notropis_buccula,89431770
Notropis_buccatus,86114997
Notropis_chalybaeus,35993324
Notropis_chrosomus,31084227
Notropis_girardi,83238684
Notropis_heterolepis,35993362
Notropis_hudsonius,35993552
Notropis_jemezanus,63652418
Notropis_maculatus,86114885
Notropis_oxyrhynchus,89431732
Notropis_stramineus,4100045
Notropis_texanus,86114923
Notropis_volucellus,83239831
Opsopoeodus_emiliae,31083467
Phenacobius_mirabilis,4100377
Pimephales_notatus,31083999
Pimephales_promelas,26048342
Platygobio_gracilis,29993998
Catostomus_catostomus,35993514
Catostomus_columbianus,75509107
Catostomus_commersonii,4575315
Catostomus_latipinnis,63652456
Catostomus_macrocheilus,75509068
Catostomus_microps,75517042
Catostomus_rimiculus,75509027
Catostomus_tahoensis,75517156
Catostomus_warnerensis,75509375
Chasmistes_brevirostris,75509183
Deltistes_luxatus,63652266
Xyrauchen_texanus,5848376
Erimyzon_oblongus,8250901
Minytrema_melanops,4100460
Hypentelium_nigricans,4575442
Thoburnia_rhothoeca,29996430
Moxostoma_congestum,8251024
Moxostoma_duquesnii,86114618
Moxostoma_erythrurum,86114542
Moxostoma_poecilurum,4575636
Cycleptus_elongatus,4575609
Carpiodes_carpio,2657135
Carpiodes_cyprinus,65343631
Ictiobus_cyprinellus,23629722
Ictiobus_bubalus,8250983
Barbatula_barbatula,24404666
Hedinichthys_yarkandensis,25020975
Triplophysa_anterodorsalis,19909425
Triplophysa_rosa,14048437
Hoplias_malabaricus,67271496
Piaractus_brachypomus,20834349
Piaractus_mesopotamicus,20466126
Pygocentrus_nattereri,10965877
Prochilodus_lineatus,20466111
Megaleporinus_obtusidens,32958798
Salminus_brasiliensis,20466642
Paracheirodon_innesi,26128656
Corydoras_aeneus,72649995
Pterygoplichthys_disjunctivus,10953123
Liobagrus_marginatus,17727861
Horabagrus_brachysoma,27909867
Bagarius_yarrelli,16016867
Creteuchiloglanis_macropterus,26374542
Euchiloglanis_kishinouyei,16016755
Glyptosternon_maculatum,16016741
Glyptothorax_fokiensis,13825324
Glyptothorax_macromaculatus,38281465
Synodontis_clarias,72627888
Malapterurus_electricus,10965755
Silurus_glanis,9384764
Wallago_attu,72646086
Clarias_gariepinus,25103336
Plotosus_lineatus,27108802
Tandanus_tandanus,83248334
Heteropneustes_fossilis,10965300
Ailia_coila,44802744
Genidens_barbus,89444625
Netuma_thalassina,27982335
Austroglanis_gilli,71457478
Pseudobagrus_vachellii,10079788
Rita_rita,18252183
Chrysichthys_nigrodigitatus,40487255
Pangasianodon_hypophthalmus,16216569
Pseudoplatystoma_corruscans,24145652
Pseudoplatystoma_reticulatum,31078461
Sorubim_lima,70586351
Lophiosilurus_alexandri,24145614
Cranoglanis_bouderius,4237624
Ictalurus_furcatus,26118485
Ictalurus_punctatus,804884
Pylodictis_olivaris,35198235
Ameiurus_melas,76828643
Ameiurus_natalis,35115181
Ameiurus_nebulosus,35198287
Noturus_albater,88563552
Noturus_exilis,83239907
Noturus_gyrinus,75517270
Glossanodon_semifasciatus,806708
Galaxias_maculatus,806661
Coregonus_artedi,35115257
Coregonus_autumnalis,24571114
Coregonus_clupeaformis,14842633
Coregonus_lavaretus,802355
Coregonus_nasus,14842605
Prosopium_cylindraceum,14842661
Prosopium_williamsoni,14842647
Stenodus_leucichthys,14842619
Thymallus_arcticus,65335904
Thymallus_thymallus,8139830
Thymallus_tugarinae,24691053
Oncorhynchus_gilae,67137847
Oncorhynchus_gorbuscha,6383213
Oncorhynchus_keta,12486861
Oncorhynchus_kisutch,4955088
Oncorhynchus_mykiss,807975
Oncorhynchus_nerka,4555712
Oncorhynchus_tshawytscha,803439
Salmo_trutta,5759299
Salmo_salar,808314
Salvelinus_alpinus,808548
Salvelinus_curilus,19909155
Salvelinus_fontinalis,808529
Salvelinus_leucomaenis,17674841
Salvelinus_malma,36488439
Salvelinus_namaycush,35115219
Esox_lucius,806651
Dallia_pectoralis,806679
Umbra_limi,26128770
Umbra_pygmaea,17097853
Hypomesus_nipponensis,10322846
Hypomesus_olidus,23631061
Osmerus_eperlanus,62623756
Spirinchus_thaleichthys,79125229
Thaleichthys_pacificus,75508217
Retropinna_semoni,29289193
Saurida_undosquamis,804159
Chlorophthalmus_agassizi,804136
Notoscopelus_resplendens,85138168
Triphoturus_mexicanus,36280476
Benthosema_pterotum,54597259
Electrona_carlsbergi,35093346
Myctophum_affine,804190
Lampris_guttatus,804034
Percopsis_omiscomaycus,76828567
Percopsis_transmontana,804237
Aphredoderus_sayanus,805561
Allocyttus_niger,805926
Zeus_faber,803982
Arctogadus_glacialis,5788207
Boreogadus_saida,5788016
Eleginus_gracilis,42438236
Gadus_chalcogrammus,806153
Gadus_macrocephalus,35985479
Gadus_morhua,808455
Micromesistius_poutassou,10200936
Melanogrammus_aeglefinus,3674073
Merlangius_merlangus,3674088
Pollachius_pollachius,10200870
Pollachius_virens,10200803
Brosme_brosme,72614136
Lota_lota,805493
Molva_dypterygia,59422276
Coryphaenoides_armatus,84888924
Coelorinchus_caelorhincus,84889228
Merluccius_hubbsi,89445005
Merluccius_senegalensis,77629778
Beryx_decadactylus,805581
Beryx_splendens,804045
Sargocentron_diadema,87700490
